"","Food code","Main food description","WWEIA Category code","WWEIA Category description","Energy (kcal)","Protein (g)","Carbohydrate (g)","Sugars, total (g)","Fiber, total dietary (g)","Total Fat (g)","Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)","Cholesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)","Lycopene (mcg)","Lutein + zeaxanthin (mcg)","Thiamin (mg)","Riboflavin (mg)","Niacin (mg)","Vitamin B-6 (mg)","Folic acid (mcg)","Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)","Vitamin B-12 (mcg)","Vitamin B-12, added (mcg)","Vitamin C (mg)","Vitamin D (D2 + D3) (mcg)","Vitamin E (alpha-tocopherol) (mg)","Vitamin E, added (mg)","Vitamin K (phylloquinone) (mcg)","Calcium (mg)","Phosphorus (mg)","Magnesium (mg)","Iron (mg)","Zinc (mg)","Copper (mg)","Selenium (mcg)","Potassium (mg)","Sodium (mg)","Caffeine (mg)","Theobromine (mg)","Alcohol (g)","4:0    (g)","6:0    (g)","8:0    (g)","10:0    (g)","12:0    (g)","14:0    (g)","16:0    (g)","18:0    (g)","16:1        (g)","18:1    (g)","20:1    (g)","22:1    (g)","18:2    (g)","18:3    (g)","18:4    (g)","20:4    (g)","20:5 n-3 (g)","22:5 n-3 (g)","22:6 n-3 (g)","Water (g)","Group"
"212",14108420,"Cheese, provolone, reduced fat",1602,"Cheese",274,24.7,3.5,0.55,0,17.6,11.3,4.89,0.51,55,137,141,0,45,0,0,0,0.019,0.321,0.156,0.073,0,10,10,10,12.9,1.46,0,0,0.3,0.15,0,1.5,756,496,28,0.52,3.23,0.026,14.5,138,615,0,0,0,0.65,0.24,0.17,0.32,0.23,1.82,5.4,2.02,0.58,4.08,0,0,0.33,0.18,0,0,0,0,0,50.6,"Dairy Foods"
"213",14109010,"Cheese, Swiss",1602,"Cheese",393,26.96,1.44,0,0,30.99,18.227,8.046,1.341,93,283,288,1,61,2,1,8,0.011,0.302,0.064,0.071,0,10,10,10,15.5,3.06,0,0,0,0.6,0,1.4,890,574,33,0.13,4.37,0.047,30,72,187,0,0,0,0.681,0.542,0.327,0.768,0.875,2.919,8.358,3.196,0.565,7.06,0.06,0.002,1.086,0.129,0.001,0.046,0,0.018,0,37.63,"Dairy Foods"
"214",14109020,"Cheese, Swiss, reduced sodium",1602,"Cheese",374,28.4,3.4,1.31,0,27.4,17.744,7.256,0.968,92,211,216,0,69,0,0,0,0.02,0.37,0.09,0.08,0,6,6,6,15.4,1.68,0,0,0.5,0.37,0,2.4,961,605,36,0.17,3.9,0.032,12.5,111,14,0,0,0,1.098,0.489,0.289,0.619,0.519,3.054,7.774,3.244,0.878,6.008,0,0,0.619,0.349,0,0,0,0,0,37.8,"Dairy Foods"
"215",14109030,"Cheese, Swiss, reduced fat",1602,"Cheese",179,28.4,3.4,1.33,0,5.1,3.304,1.351,0.18,35,39,40,0,13,0,0,0,0.02,0.36,0.09,0.08,0,6,6,6,15.4,1.68,0,0,0.1,0.07,0,0.5,961,605,36,0.17,3.9,0.027,12.7,111,199,0,0,0,0.204,0.091,0.054,0.115,0.097,0.569,1.447,0.604,0.164,1.119,0,0,0.115,0.065,0,0,0,0,0,59.6,"Dairy Foods"
"216",14109040,"Cheese, Swiss, nonfat or fat free",1602,"Cheese",127,28.4,3.4,1.33,0,0,0,0,0,18,39,40,0,13,0,0,0,0.02,0.36,0.09,0.08,0,6,6,6,15.4,1.68,0,0,0.1,0.07,0,0.5,961,605,36,0.17,3.9,0.027,12.7,111,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6,"Dairy Foods"
"217",14110010,"Cheese, Cheddar, reduced sodium",1602,"Cheese",398,24.35,1.91,0.49,0,32.62,20.768,9.189,0.972,100,257,264,0,84,0,0,0,0.021,0.375,0.086,0.076,0,18,18,18,15.4,0.83,0,0,0.6,0.28,0,2.7,703,484,27,0.72,3.09,0.036,14.5,112,21,0,0,0,1.079,0.546,0.288,0.619,0.558,3.435,10.111,4.133,1.036,8.153,0,0,0.595,0.376,0,0,0,0,0,38.98,"Dairy Foods"
"218",14120010,"Cheese, Mexican blend",1602,"Cheese",358,23.54,1.75,1.23,0,28.51,17.027,7.871,0.864,95,170,174,0,56,0,0,0,0.023,0.318,0.114,0.061,0,13,13,13,15.7,1.23,0,0,0.5,0.25,0,2.5,659,438,25,0.59,3.01,0.025,15,85,338,0,0,0,0.922,0.417,0.271,0.568,0.527,3.026,7.925,3.372,0.857,7.015,0,0,0.532,0.332,0,0,0,0,0,42.48,"Dairy Foods"
"219",14120020,"Cheese, Mexican blend, reduced fat",1602,"Cheese",282,24.69,3.41,0.56,0,19.4,11.58,5.02,0.75,62,151,155,0,50,0,0,0,0.03,0.3,0.06,0.084,0,20,20,20,13.5,1.66,0,0,0.4,0.17,0,1.6,1146,583,35,0.13,4.3,0.021,15.5,93,776,0,0,0,0.72,0.42,0.24,0.52,0.56,1.88,5.02,2.24,0.3,4.47,0.04,0,0.57,0.13,0,0.03,0,0,0,48.2,"Dairy Foods"
"220",14131000,"Queso Anejo, aged Mexican cheese",1602,"Cheese",373,21.44,4.63,4.63,0,29.98,19.033,8.528,0.901,105,64,64,0,4,0,0,0,0.02,0.209,0.032,0.047,0,1,1,1,15.4,1.38,0,0,0.5,0.26,0,2.5,680,444,28,0.47,2.94,0.008,14.5,87,1131,0,0,0,0.907,0.474,0.256,0.557,0.508,3.153,9.34,3.838,0.957,7.571,0,0,0.552,0.349,0,0,0,0,0,38.06,"Dairy Foods"
"221",14131500,"Queso Asadero",1602,"Cheese",356,22.6,2.87,2.87,0,28.26,17.939,8.038,0.85,105,55,55,0,4,0,0,0,0.021,0.223,0.181,0.053,0,8,8,8,15.4,1,0,0,0.5,0.24,0,2.4,661,443,26,0.51,3.02,0.026,14.5,86,705,0,0,0,0.855,0.447,0.241,0.525,0.479,2.972,8.804,3.617,0.902,7.136,0,0,0.52,0.329,0,0,0,0,0,42.16,"Dairy Foods"
