"","Food code","Main food description","WWEIA Category code","WWEIA Category description","Energy (kcal)","Protein (g)","Carbohydrate (g)","Sugars, total (g)","Fiber, total dietary (g)","Total Fat (g)","Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)","Cholesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)","Lycopene (mcg)","Lutein + zeaxanthin (mcg)","Thiamin (mg)","Riboflavin (mg)","Niacin (mg)","Vitamin B-6 (mg)","Folic acid (mcg)","Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)","Vitamin B-12 (mcg)","Vitamin B-12, added (mcg)","Vitamin C (mg)","Vitamin D (D2 + D3) (mcg)","Vitamin E (alpha-tocopherol) (mg)","Vitamin E, added (mg)","Vitamin K (phylloquinone) (mcg)","Calcium (mg)","Phosphorus (mg)","Magnesium (mg)","Iron (mg)","Zinc (mg)","Copper (mg)","Selenium (mcg)","Potassium (mg)","Sodium (mg)","Caffeine (mg)","Theobromine (mg)","Alcohol (g)","4:0    (g)","6:0    (g)","8:0    (g)","10:0    (g)","12:0    (g)","14:0    (g)","16:0    (g)","18:0    (g)","16:1        (g)","18:1    (g)","20:1    (g)","22:1    (g)","18:2    (g)","18:3    (g)","18:4    (g)","20:4    (g)","20:5 n-3 (g)","22:5 n-3 (g)","22:6 n-3 (g)","Water (g)","Group"
"2149",56205018,"Rice, brown, cooked, fat not added in cooking",4002,"Rice",122,2.73,25.45,0.24,1.6,0.96,0.259,0.367,0.364,0,0,0,0,0,0,0,0,0.177,0.069,2.548,0.122,0,9,9,9,9.2,0,0,0,0,0.17,0,0.2,3,102,39,0.56,0.71,0.106,5.8,86,202,0,0,0,0,0,0.002,0.015,0.002,0.009,0.197,0.022,0.001,0.363,0.003,0,0.353,0.011,0,0,0,0,0,69.91,"Grains, Beans and Nuts"
"2150",56205050,"Rice, cream of, cooked, fat not added in cooking",4804,"Grits and other cooked cereals",69,1.17,15.28,0.06,0.1,0.09,0.025,0.029,0.025,0,0,0,0,0,0,0,0,0.076,0.022,1.245,0.033,0,4,4,4,1.1,0,0,0,0,0.02,0,0,4,22,5,5.01,0.22,0.053,3.5,25,69,0,0,0,0,0,0,0,0,0.001,0.023,0.002,0,0.029,0,0,0.021,0.004,0,0,0,0,0,83.13,"Grains, Beans and Nuts"
"2151",56205060,"Rice, cooked, with milk",4002,"Rice",143,5.06,25.03,5.11,0.3,2.21,1.276,0.592,0.147,8,53,53,0,4,0,0,0,0.146,0.19,1.149,0.067,39,5,72,45,13.3,0.27,0,0,1.2,0.07,0,0.2,126,118,17,1.06,0.7,0.067,6.9,168,363,0,0,0,0.059,0.044,0.036,0.049,0.052,0.186,0.588,0.243,0.013,0.568,0.001,0,0.107,0.038,0,0,0,0,0,66.02,"Grains, Beans and Nuts"
"2152",56205070,"Rice, sweet, cooked with honey",4002,"Rice",140,2.52,31.3,5.16,0.4,0.26,0.072,0.082,0.071,0,0,0,0,0,0,0,0,0.151,0.014,1.379,0.088,51,3,90,54,2.1,0,0,0,0,0.04,0,0,10,40,11,1.14,0.47,0.067,7,36,343,0,0,0,0,0,0,0,0,0.002,0.064,0.005,0.001,0.081,0,0,0.058,0.012,0,0,0,0,0,64.64,"Grains, Beans and Nuts"
"2153",56205080,"Rice, creamed, made with milk and sugar, Puerto Rican style",4804,"Grits and other cooked cereals",88,2.19,17.47,8.85,0.1,0.96,0.553,0.256,0.063,3,23,23,0,2,0,0,0,0.065,0.083,0.497,0.031,17,2,31,19,6.8,0.17,0,0,0.5,0.03,0,0.1,56,51,8,0.46,0.31,0.034,3,73,125,0,0,0,0.026,0.019,0.016,0.021,0.022,0.08,0.255,0.105,0.006,0.246,0,0,0.046,0.016,0,0,0,0,0,78.69,"Grains, Beans and Nuts"
"2154",56205090,"Rice, cream of, cooked, fat added in cooking",4804,"Grits and other cooked cereals",80,1.16,15.03,0.06,0.1,1.56,0.747,0.441,0.276,3,14,15,0,7,0,0,0,0.075,0.022,1.225,0.062,0,4,4,4,1.4,0,0,0,0,0.22,0,0.9,4,22,5,4.93,0.22,0.052,3.5,25,81,0,0,0,0.039,0.024,0.015,0.031,0.033,0.092,0.337,0.162,0.012,0.425,0.003,0,0.246,0.03,0,0,0,0,0,81.9,"Grains, Beans and Nuts"
"2155",56205092,"Rice, cream of, cooked, NS as to fat added in cooking",4804,"Grits and other cooked cereals",80,1.16,15.03,0.06,0.1,1.56,0.747,0.441,0.276,3,14,15,0,7,0,0,0,0.075,0.022,1.225,0.062,0,4,4,4,1.4,0,0,0,0,0.22,0,0.9,4,22,5,4.93,0.22,0.052,3.5,25,81,0,0,0,0.039,0.024,0.015,0.031,0.033,0.092,0.337,0.162,0.012,0.425,0.003,0,0.246,0.03,0,0,0,0,0,81.9,"Grains, Beans and Nuts"
"2156",56205094,"Rice, cream of, cooked, made with milk",4804,"Grits and other cooked cereals",130,4.34,19.74,5,0.1,3.55,1.945,0.967,0.375,10,66,66,0,11,0,0,0,0.111,0.196,1.313,0.097,0,8,8,8,16,0.45,0,0.1,1.2,0.26,0,1.1,117,110,15,4.95,0.62,0.056,6.5,162,121,0,0,0,0.097,0.067,0.05,0.079,0.084,0.272,0.87,0.395,0.025,0.928,0.004,0,0.314,0.059,0,0,0,0,0,71.43,"Grains, Beans and Nuts"
"2157",56205101,"Congee",4002,"Rice",33,0.68,7.16,0.01,0.1,0.07,0.02,0.022,0.019,0,0,0,0,0,0,0,0,0.041,0.003,0.375,0.024,14,1,25,15,0.5,0,0,0,0,0.01,0,0,5,11,4,0.31,0.13,0.027,1.9,9,253,0,0,0,0,0,0,0,0,0.001,0.018,0.001,0,0.022,0,0,0.016,0.003,0,0,0,0,0,91.25,"Grains, Beans and Nuts"
"2158",56205130,"Yellow rice, cooked, NS as to fat added in cooking",4002,"Rice",88,1.8,19.1,0.45,0.5,0.45,0,0.11,0.213,0,0,2,0,0,0,0,0,0.081,0.029,0.898,0.141,20,5,39,25,2.2,0,0,0,0,0.06,0,0.2,12,42,30,0.62,0.32,0.075,2.7,195,340,0,0,0,0,0,0,0,0,0,0,0,0.001,0.109,0.001,0,0.102,0.109,0,0.001,0,0.001,0,77.09,"Grains, Beans and Nuts"
"2159",56205150,"Yellow rice, cooked, fat not added in cooking",4002,"Rice",88,1.8,19.1,0.45,0.5,0.45,0,0.11,0.213,0,0,2,0,0,0,0,0,0.081,0.029,0.898,0.141,20,5,39,25,2.2,0,0,0,0,0.06,0,0.2,12,42,30,0.62,0.32,0.075,2.7,195,340,0,0,0,0,0,0,0,0,0,0,0,0.001,0.109,0.001,0,0.102,0.109,0,0.001,0,0.001,0,77.09,"Grains, Beans and Nuts"
"2160",56205170,"Yellow rice, cooked, fat added in cooking",4002,"Rice",104,1.76,18.69,0.44,0.4,2.46,0.38,1.08,0.816,0,19,23,0,15,0,0,0,0.079,0.03,0.878,0.138,20,5,38,25,2.4,0,0,0,0,0.29,0,2.5,11,41,29,0.6,0.31,0.073,2.6,191,351,0,0,0,0,0,0,0,0,0.001,0.211,0.155,0.002,1.074,0.004,0,0.657,0.158,0,0.001,0,0.001,0,75.52,"Grains, Beans and Nuts"
"2161",56205190,"Rice, white, cooked, glutinous",4002,"Rice",96,2.01,20.97,0.05,1,0.19,0.039,0.07,0.069,0,0,0,0,0,0,0,0,0.02,0.013,0.288,0.026,0,1,1,1,2.1,0,0,0,0,0.04,0,0,2,8,5,0.14,0.41,0.049,5.6,10,227,0,0,0,0,0,0,0,0,0.001,0.033,0.003,0.001,0.07,0,0,0.066,0.003,0,0,0,0,0,76.19,"Grains, Beans and Nuts"
"2162",56205205,"Rice, wild, 100%, cooked, NS as to fat added in cooking",4002,"Rice",121,3.86,20.64,0.71,1.7,3.01,0.414,1.17,1.309,0,0,0,0,2,0,0,62,0.05,0.084,1.245,0.131,0,25,25,25,9.9,0,0,0,0,0.55,0,3.6,3,79,31,0.59,1.3,0.117,0.8,98,232,0,0,0,0,0,0,0,0,0,0.306,0.089,0.01,1.149,0.011,0,1.083,0.228,0,0,0,0,0,71.51,"Grains, Beans and Nuts"
"2163",56205210,"Rice, wild, 100%, cooked, fat not added in cooking",4002,"Rice",100,3.97,21.21,0.73,1.8,0.34,0.049,0.05,0.212,0,0,0,0,2,0,0,64,0.052,0.086,1.279,0.134,0,26,26,26,10.1,0,0,0,0,0.24,0,0.5,3,82,32,0.6,1.33,0.12,0.8,100,238,0,0,0,0,0,0,0,0,0,0.046,0.003,0,0.05,0,0,0.118,0.094,0,0,0,0,0,73.48,"Grains, Beans and Nuts"
"2164",56205215,"Rice, wild, 100%, cooked, fat added in cooking",4002,"Rice",121,3.86,20.64,0.71,1.7,3.01,0.414,1.17,1.309,0,0,0,0,2,0,0,62,0.05,0.084,1.245,0.131,0,25,25,25,9.9,0,0,0,0,0.55,0,3.6,3,79,31,0.59,1.3,0.117,0.8,98,232,0,0,0,0,0,0,0,0,0,0.306,0.089,0.01,1.149,0.011,0,1.083,0.228,0,0,0,0,0,71.51,"Grains, Beans and Nuts"
"2165",56205300,"Rice, white and wild, cooked, fat not added in cooking",4002,"Rice",121,3.59,25.99,0.6,0.6,0.3,0,0.061,0.195,0,1,1,0,0,0,0,9,0.168,0.093,2.276,0.14,1,35,37,36,13.6,0,0,0,0,0.5,0,0.2,36,123,60,1.46,1.75,0.169,1.2,97,372,0,0,0,0,0,0,0,0,0,0,0,0.001,0.06,0,0,0.11,0.085,0,0,0,0,0,68.37,"Grains, Beans and Nuts"
"2166",56205310,"Rice, brown and wild, cooked, fat not added in cooking",4002,"Rice",120,2.89,24.9,0.3,1.6,0.88,0.232,0.326,0.344,0,0,0,0,0,0,0,8,0.161,0.071,2.384,0.124,0,11,11,11,9.3,0,0,0,0,0.18,0,0.2,3,100,38,0.56,0.79,0.108,5.1,88,207,0,0,0,0,0,0.002,0.013,0.002,0.008,0.177,0.019,0.001,0.323,0.003,0,0.323,0.022,0,0,0,0,0,70.37,"Grains, Beans and Nuts"
"2167",56205320,"Rice, white and wild, cooked, fat added in cooking",4002,"Rice",112,2.17,20.61,0.13,0.5,2.16,0.417,1.002,0.661,0,19,20,0,15,0,0,9,0.105,0.02,1.196,0.05,34,4,62,38,3,0,0,0,0,0.28,0,2.4,10,41,14,0.98,0.5,0.076,3.4,41,511,0,0,0,0,0,0,0,0,0.002,0.247,0.154,0.002,0.997,0.003,0,0.592,0.069,0,0,0,0,0,73.45,"Grains, Beans and Nuts"
"2168",56205330,"Rice, white and wild, cooked, NS as to fat added in cooking",4002,"Rice",112,2.17,20.61,0.13,0.5,2.16,0.417,1.002,0.661,0,19,20,0,15,0,0,9,0.105,0.02,1.196,0.05,34,4,62,38,3,0,0,0,0,0.28,0,2.4,10,41,14,0.98,0.5,0.076,3.4,41,511,0,0,0,0,0,0,0,0,0.002,0.247,0.154,0.002,0.997,0.003,0,0.592,0.069,0,0,0,0,0,73.45,"Grains, Beans and Nuts"
"2169",56205340,"Rice, brown and wild, cooked, fat added in cooking",4002,"Rice",137,2.82,24.32,0.3,1.6,3.18,0.543,1.29,1.291,0,0,0,0,0,0,0,8,0.157,0.069,2.329,0.121,0,11,11,11,9.1,0,0,0,0,0.45,0,3,3,97,37,0.56,0.77,0.105,5,85,202,0,0,0,0,0,0.002,0.013,0.002,0.008,0.399,0.093,0.009,1.268,0.012,0,1.153,0.139,0,0,0,0,0,68.74,"Grains, Beans and Nuts"
"2170",56205350,"Rice, brown and wild, cooked, NS as to fat added in cooking",4002,"Rice",113,2.26,19.8,0.25,1,2.72,0.507,1.188,0.841,0,19,20,0,15,0,0,9,0.099,0.029,1.7,0.115,0,6,6,6,6.5,0,0,0,0,0.38,0,2.5,6,82,34,0.35,0.72,0.093,3.9,69,511,0,0,0,0,0,0,0.004,0.001,0.005,0.313,0.164,0.002,1.179,0.006,0,0.771,0.069,0,0,0,0,0,73.49,"Grains, Beans and Nuts"
"2171",56205410,"Rice, white, cooked with fat, Puerto Rican style",4002,"Rice",198,2.85,31.94,0.05,0.5,6.15,0.877,2.547,2.495,0,0,0,0,0,0,0,0,0.184,0.018,1.675,0.062,62,2,108,65,2.3,0,0,0,0,0.73,0,7,14,44,11,1.65,0.44,0.092,6,44,507,0,0,0,0,0,0,0,0,0.002,0.638,0.193,0.022,2.499,0.024,0,2.184,0.311,0,0,0,0,0,57.43,"Grains, Beans and Nuts"
"2172",56206990,"Cream of wheat, NS as to regular, quick, or instant, NS as to fat added in cooking",4804,"Grits and other cooked cereals",64,1.44,10.39,0.03,0.5,1.74,0.788,0.459,0.376,3,15,16,0,7,0,0,2,0.054,0.025,0.514,0.045,8,3,17,12,3.5,0,0,0,0,0.22,0,1,86,15,5,3.69,0.13,0.037,2.7,16,85,0,0,0,0.041,0.026,0.015,0.033,0.035,0.096,0.36,0.169,0.013,0.443,0.003,0,0.337,0.039,0,0,0,0,0,86.04,"Grains, Beans and Nuts"
"2173",56207000,"Cream of wheat, NS as to regular, quick, or instant, fat not added in cooking",4804,"Grits and other cooked cereals",51,1.45,10.57,0.03,0.5,0.21,0.033,0.028,0.115,0,0,0,0,0,0,0,2,0.055,0.025,0.522,0.013,8,3,18,12,3.2,0,0,0,0,0.02,0,0.1,87,15,5,3.76,0.13,0.037,2.8,16,72,0,0,0,0,0,0,0,0,0,0.031,0.002,0.001,0.028,0,0,0.102,0.012,0,0,0,0,0,87.41,"Grains, Beans and Nuts"
"2174",56207005,"Cream of wheat, NS as to regular, quick, or instant, fat added in cooking",4804,"Grits and other cooked cereals",64,1.44,10.39,0.03,0.5,1.74,0.788,0.459,0.376,3,15,16,0,7,0,0,2,0.054,0.025,0.514,0.045,8,3,17,12,3.5,0,0,0,0,0.22,0,1,86,15,5,3.69,0.13,0.037,2.7,16,85,0,0,0,0.041,0.026,0.015,0.033,0.035,0.096,0.36,0.169,0.013,0.443,0.003,0,0.337,0.039,0,0,0,0,0,86.04,"Grains, Beans and Nuts"
"2175",56207015,"Cream of wheat, regular or quick, made with water, NS as to fat added in cooking",4804,"Grits and other cooked cereals",64,1.44,10.39,0.03,0.5,1.74,0.788,0.459,0.376,3,15,16,0,7,0,0,2,0.054,0.025,0.514,0.045,8,3,17,12,3.5,0,0,0,0,0.22,0,1,86,15,5,3.69,0.13,0.037,2.7,16,85,0,0,0,0.041,0.026,0.015,0.033,0.035,0.096,0.36,0.169,0.013,0.443,0.003,0,0.337,0.039,0,0,0,0,0,86.04,"Grains, Beans and Nuts"
"2176",56207016,"Cream of wheat, regular or quick, made with water, fat not added in cooking",4804,"Grits and other cooked cereals",51,1.45,10.57,0.03,0.5,0.21,0.033,0.028,0.115,0,0,0,0,0,0,0,2,0.055,0.025,0.522,0.013,8,3,18,12,3.2,0,0,0,0,0.02,0,0.1,87,15,5,3.76,0.13,0.037,2.8,16,72,0,0,0,0,0,0,0,0,0,0.031,0.002,0.001,0.028,0,0,0.102,0.012,0,0,0,0,0,87.41,"Grains, Beans and Nuts"
"2177",56207017,"Cream of wheat, regular or quick, made with water, fat added in cooking",4804,"Grits and other cooked cereals",64,1.44,10.39,0.03,0.5,1.74,0.788,0.459,0.376,3,15,16,0,7,0,0,2,0.054,0.025,0.514,0.045,8,3,17,12,3.5,0,0,0,0,0.22,0,1,86,15,5,3.69,0.13,0.037,2.7,16,85,0,0,0,0.041,0.026,0.015,0.033,0.035,0.096,0.36,0.169,0.013,0.443,0.003,0,0.337,0.039,0,0,0,0,0,86.04,"Grains, Beans and Nuts"
"2178",56207021,"Cream of wheat, regular or quick, made with milk, NS as to fat added in cooking",4804,"Grits and other cooked cereals",115,4.76,15.33,5.2,0.5,3.82,2.042,1.01,0.48,10,69,70,0,12,0,0,2,0.092,0.207,0.606,0.081,8,8,22,16,18.7,0.47,0,0.1,1.3,0.26,0,1.2,204,108,15,3.72,0.55,0.041,5.9,159,126,0,0,0,0.101,0.07,0.052,0.083,0.088,0.284,0.918,0.414,0.027,0.969,0.004,0,0.408,0.07,0,0,0,0,0,75.08,"Grains, Beans and Nuts"
"2179",56207022,"Cream of wheat, regular or quick, made with milk, fat not added in cooking",4804,"Grits and other cooked cereals",104,4.84,15.6,5.3,0.5,2.33,1.31,0.589,0.22,8,55,55,0,4,0,0,2,0.094,0.21,0.617,0.05,8,8,23,17,18.7,0.48,0,0.1,1.3,0.06,0,0.3,207,109,15,3.78,0.56,0.042,6,162,114,0,0,0,0.061,0.046,0.037,0.051,0.054,0.192,0.599,0.251,0.014,0.564,0.001,0,0.175,0.043,0,0,0,0,0,76.25,"Grains, Beans and Nuts"
"2180",56207023,"Cream of wheat, regular or quick, made with milk, fat added in cooking",4804,"Grits and other cooked cereals",115,4.76,15.33,5.2,0.5,3.82,2.042,1.01,0.48,10,69,70,0,12,0,0,2,0.092,0.207,0.606,0.081,8,8,22,16,18.7,0.47,0,0.1,1.3,0.26,0,1.2,204,108,15,3.72,0.55,0.041,5.9,159,126,0,0,0,0.101,0.07,0.052,0.083,0.088,0.284,0.918,0.414,0.027,0.969,0.004,0,0.408,0.07,0,0,0,0,0,75.08,"Grains, Beans and Nuts"
"2181",56207025,"Cream of wheat, regular or quick, made with non-dairy milk, NS as to fat added in cooking",4804,"Grits and other cooked cereals",96,2.57,14.41,3.33,0.7,3.02,0.978,1.01,0.782,3,70,71,0,8,0,0,2,0.086,0.154,0.693,0.06,8,7,21,15,10.6,0.68,0.67,0,1.1,2.09,1.83,1.9,257,34,13,4.05,0.43,0.092,3.5,93,140,0,0,0,0.041,0.027,0.025,0.041,0.099,0.122,0.418,0.192,0.017,0.968,0.006,0,0.659,0.061,0,0,0,0,0,79.23,"Grains, Beans and Nuts"
"2182",56207026,"Cream of wheat, regular or quick, made with non-dairy milk, fat not added in cooking",4804,"Grits and other cooked cereals",84,2.61,14.66,3.39,0.7,1.5,0.226,0.589,0.528,0,56,56,0,1,0,0,2,0.088,0.157,0.705,0.028,8,7,21,15,10.5,0.68,0.68,0,1.1,1.91,1.86,1,261,34,13,4.12,0.44,0.093,3.6,94,128,0,0,0,0,0.001,0.01,0.008,0.065,0.026,0.09,0.025,0.005,0.562,0.003,0,0.431,0.035,0,0,0,0,0,80.48,"Grains, Beans and Nuts"
"2183",56207027,"Cream of wheat, regular or quick, made with non-dairy milk, fat added in cooking",4804,"Grits and other cooked cereals",96,2.57,14.41,3.33,0.7,3.02,0.978,1.01,0.782,3,70,71,0,8,0,0,2,0.086,0.154,0.693,0.06,8,7,21,15,10.6,0.68,0.67,0,1.1,2.09,1.83,1.9,257,34,13,4.05,0.43,0.092,3.5,93,140,0,0,0,0.041,0.027,0.025,0.041,0.099,0.122,0.418,0.192,0.017,0.968,0.006,0,0.659,0.061,0,0,0,0,0,79.23,"Grains, Beans and Nuts"
"2184",56207030,"Cream of wheat, instant, made with water, fat not added in cooking",4804,"Grits and other cooked cereals",66,1.52,14.43,3.64,0.5,0.2,0.032,0.028,0.111,0,193,193,0,0,0,0,2,0.173,0.166,2.436,0.256,46,5,84,51,3.3,0,0,0,0,0.02,0,0.1,54,15,6,4.11,0.15,0.039,2.9,17,85,0,0,0,0,0,0,0,0,0,0.03,0.002,0.001,0.027,0,0,0.099,0.012,0,0,0,0,0,83.46,"Grains, Beans and Nuts"
"2185",56207050,"Wheat, cream of, cooked, made with milk and sugar, Puerto Rican style",4804,"Grits and other cooked cereals",109,3.95,18.84,11.24,0.4,1.95,1.109,0.497,0.174,7,46,47,0,4,0,0,1,0.072,0.177,0.466,0.039,6,6,17,12,14.9,0.34,0,0.1,1.1,0.04,0,0.2,166,91,12,2.8,0.46,0.033,4.8,136,145,0,0,0,0.052,0.039,0.032,0.043,0.046,0.163,0.505,0.213,0.012,0.475,0.001,0,0.137,0.035,0,0,0,0,0,74.3,"Grains, Beans and Nuts"
"2186",56207060,"Cream of wheat, instant, made with water, fat added in cooking",4804,"Grits and other cooked cereals",81,1.5,14.08,3.55,0.5,2.01,0.922,0.536,0.419,3,205,206,0,8,0,0,2,0.169,0.163,2.376,0.288,45,5,82,50,3.6,0,0,0,0,0.26,0,1.2,53,15,6,4.01,0.15,0.038,2.8,17,100,0,0,0,0.049,0.03,0.018,0.039,0.041,0.113,0.418,0.2,0.016,0.516,0.003,0,0.375,0.043,0,0,0,0,0,81.99,"Grains, Beans and Nuts"
"2187",56207070,"Cream of wheat, instant, made with water, NS as to fat added in cooking",4804,"Grits and other cooked cereals",81,1.5,14.08,3.55,0.5,2.01,0.922,0.536,0.419,3,205,206,0,8,0,0,2,0.169,0.163,2.376,0.288,45,5,82,50,3.6,0,0,0,0,0.26,0,1.2,53,15,6,4.01,0.15,0.038,2.8,17,100,0,0,0,0.049,0.03,0.018,0.039,0.041,0.113,0.418,0.2,0.016,0.516,0.003,0,0.375,0.043,0,0,0,0,0,81.99,"Grains, Beans and Nuts"
"2188",56207094,"Cream of wheat, instant, made with milk, fat added in cooking",4804,"Grits and other cooked cereals",121,4.11,17.96,7.62,0.5,3.65,1.908,0.968,0.5,9,248,249,0,12,0,0,2,0.199,0.306,2.449,0.316,45,9,85,54,15.6,0.37,0,0.1,1,0.29,0,1.3,145,88,13,4.03,0.48,0.042,5.3,129,132,0,0,0,0.096,0.065,0.047,0.078,0.082,0.261,0.857,0.392,0.026,0.93,0.004,0,0.431,0.067,0,0,0,0,0,73.38,"Grains, Beans and Nuts"
"2189",56207095,"Cream of wheat, instant, made with milk, fat not added in cooking",4804,"Grits and other cooked cereals",108,4.2,18.41,7.81,0.5,1.88,1.043,0.471,0.195,6,236,236,0,4,0,0,2,0.203,0.313,2.511,0.285,46,9,88,55,15.6,0.38,0,0.1,1,0.05,0,0.2,149,89,14,4.13,0.49,0.043,5.5,132,119,0,0,0,0.048,0.036,0.03,0.04,0.043,0.152,0.48,0.199,0.011,0.451,0.001,0,0.157,0.036,0,0,0,0,0,74.63,"Grains, Beans and Nuts"
"2190",56207096,"Cream of wheat, instant, made with milk, NS as to fat added in cooking",4804,"Grits and other cooked cereals",121,4.11,17.96,7.62,0.5,3.65,1.908,0.968,0.5,9,248,249,0,12,0,0,2,0.199,0.306,2.449,0.316,45,9,85,54,15.6,0.37,0,0.1,1,0.29,0,1.3,145,88,13,4.03,0.48,0.042,5.3,129,132,0,0,0,0.096,0.065,0.047,0.078,0.082,0.261,0.857,0.392,0.026,0.93,0.004,0,0.431,0.067,0,0,0,0,0,73.38,"Grains, Beans and Nuts"
"2191",56207101,"Cream of wheat, instant, made with non-dairy milk, NS as to fat added in cooking",4804,"Grits and other cooked cereals",106,2.39,17.24,6.15,0.6,3.01,1.071,0.968,0.738,3,249,250,0,9,0,0,2,0.194,0.265,2.517,0.299,45,7,84,53,9.2,0.53,0.53,0,0.9,1.73,1.44,1.9,188,30,12,4.29,0.38,0.082,3.5,77,143,0,0,0,0.049,0.031,0.026,0.045,0.091,0.133,0.464,0.217,0.019,0.929,0.006,0,0.629,0.061,0,0,0,0,0,76.64,"Grains, Beans and Nuts"
"2192",56207102,"Cream of wheat, instant, made with non-dairy milk, fat not added in cooking",4804,"Grits and other cooked cereals",92,2.44,17.67,6.3,0.6,1.23,0.184,0.471,0.439,0,237,237,0,0,0,0,2,0.199,0.27,2.58,0.268,46,7,86,54,9.1,0.54,0.54,0,0.8,1.52,1.48,0.8,192,30,12,4.4,0.39,0.084,3.5,78,130,0,0,0,0,0.001,0.008,0.007,0.052,0.021,0.077,0.02,0.004,0.45,0.002,0,0.359,0.03,0,0,0,0,0,77.98,"Grains, Beans and Nuts"
"2193",56207103,"Cream of wheat, instant, made with non-dairy milk, fat added in cooking",4804,"Grits and other cooked cereals",106,2.39,17.24,6.15,0.6,3.01,1.071,0.968,0.738,3,249,250,0,9,0,0,2,0.194,0.265,2.517,0.299,45,7,84,53,9.2,0.53,0.53,0,0.9,1.73,1.44,1.9,188,30,12,4.29,0.38,0.082,3.5,77,143,0,0,0,0.049,0.031,0.026,0.045,0.091,0.133,0.464,0.217,0.019,0.929,0.006,0,0.629,0.061,0,0,0,0,0,76.64,"Grains, Beans and Nuts"
"2194",56207110,"Bulgur, fat not added in cooking",4004,"Pasta, noodles, cooked grains",83,3.06,18.48,0.1,4.5,0.24,0.042,0.031,0.097,0,0,0,0,1,0,0,54,0.057,0.028,0.994,0.083,0,18,18,18,6.9,0,0,0,0,0.01,0,0.5,10,40,32,0.96,0.57,0.075,0.6,68,219,0,0,0,0,0,0.002,0,0,0,0.037,0.002,0.001,0.03,0,0,0.093,0.004,0,0,0,0,0,77.33,"Grains, Beans and Nuts"
"2195",56207120,"Bulgur, fat added in cooking",4004,"Pasta, noodles, cooked grains",112,2.87,17.32,0.09,4.2,4.15,0.833,1.299,1.83,0,50,54,0,41,0,0,50,0.053,0.028,0.93,0.323,0,17,17,17,7.1,0,0,0,0.1,1.4,0,7.1,11,38,30,0.89,0.53,0.07,0.6,65,247,0,0,0,0.001,0,0.002,0.005,0.013,0.011,0.452,0.314,0.004,1.28,0.013,0,1.646,0.182,0,0,0,0,0,74.72,"Grains, Beans and Nuts"
"2196",56207130,"Bulgur, NS as to fat added in cooking",4004,"Pasta, noodles, cooked grains",83,3.06,18.48,0.1,4.5,0.24,0.042,0.031,0.097,0,0,0,0,1,0,0,54,0.057,0.028,0.994,0.083,0,18,18,18,6.9,0,0,0,0,0.01,0,0.5,10,40,32,0.96,0.57,0.075,0.6,68,219,0,0,0,0,0,0.002,0,0,0,0.037,0.002,0.001,0.03,0,0,0.093,0.004,0,0,0,0,0,77.33,"Grains, Beans and Nuts"
"2197",56207160,"Couscous, plain, cooked",4004,"Pasta, noodles, cooked grains",111,3.77,23.11,0.1,1.4,0.16,0.029,0.022,0.064,0,0,0,0,0,0,0,25,0.063,0.027,0.978,0.051,0,15,15,15,3.3,0,0,0,0,0.13,0,0.1,8,22,8,0.38,0.26,0.041,27.4,58,189,0,0,0,0,0,0,0,0,0,0.027,0.001,0.001,0.022,0,0,0.06,0.003,0,0,0,0,0,72.23,"Grains, Beans and Nuts"
"2198",56207190,"Whole wheat cereal, cooked, NS as to fat added in cooking",4804,"Grits and other cooked cereals",60,1.53,10.21,0.06,1.3,1.81,0.797,0.47,0.4,3,15,16,0,7,0,0,28,0.044,0.037,0.599,0.08,0,7,7,7,3.5,0,0,0,0,0.39,0,1.3,9,49,18,0.44,0.37,0.069,9.6,51,84,0,0,0,0.041,0.026,0.015,0.033,0.035,0.096,0.37,0.169,0.013,0.454,0.003,0,0.363,0.037,0,0,0,0,0,85.9,"Grains, Beans and Nuts"
"2199",56207200,"Whole wheat cereal, cooked, fat not added in cooking",4804,"Grits and other cooked cereals",47,1.55,10.39,0.06,1.3,0.28,0.041,0.039,0.139,0,0,0,0,0,0,0,28,0.044,0.037,0.609,0.049,0,8,8,8,3.2,0,0,0,0,0.18,0,0.3,9,50,18,0.45,0.38,0.071,9.8,51,71,0,0,0,0,0,0,0,0,0,0.04,0.001,0,0.039,0,0,0.129,0.01,0,0,0,0,0,87.27,"Grains, Beans and Nuts"
"2200",56207210,"Whole wheat cereal, cooked, fat added in cooking",4804,"Grits and other cooked cereals",60,1.53,10.21,0.06,1.3,1.81,0.797,0.47,0.4,3,15,16,0,7,0,0,28,0.044,0.037,0.599,0.08,0,7,7,7,3.5,0,0,0,0,0.39,0,1.3,9,49,18,0.44,0.37,0.069,9.6,51,84,0,0,0,0.041,0.026,0.015,0.033,0.035,0.096,0.37,0.169,0.013,0.454,0.003,0,0.363,0.037,0,0,0,0,0,85.9,"Grains, Beans and Nuts"
